# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies src/probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

lossy-combo-all-features                 bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 mb_skip_flag mb_skipped parts_4 proba_update quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 skip_proba uvmode_0 uvmode_1 uvmode_3 wht_dc_only wht_empty wht_full ymode_0 ymode_1 ymode_2 
lossy-filter-lf-delta-extremes           bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 wht_dc_only ymode_0 ymode_2 
lossy-filter-lf-delta                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 uvmode_1 uvmode_2 wht_dc_only ymode_0 ymode_2 
lossy-filter-normal-max                  coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-filter-sharpness-4                 coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-filter-sharpness-5                 coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-filter-simple-max                  coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-frame-bad-start-code               info:bad-signature 
lossy-frame-colorspace-clamp             coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-interframe                   info:not-a-keyframe 
lossy-frame-not-shown                    info:not-displayable 
lossy-frame-part0-empty                  error:cannot-parse-segment-header 
lossy-frame-part0-past-end               info:partition-length 
