# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

lz77-plane-code-1                        build_single_value codelen_18 codelen_18_max_run complex_code dist_plane_code_1 lz77_copy num_codes_min simple_1sym 
lz77-plane-code-120                      build_single_value codelen_17 codelen_17_max_run codelen_18 codelen_18_max_run complex_code dist_plane_code_120 lz77_copy num_codes_min simple_1sym 
lz77-plane-code-clamped-to-1             build_single_value codelen_18 codelen_18_max_run complex_code dist_clamped_to_1 lz77_copy num_codes_min simple_1sym 
meta-huffman-1001-groups                 build_single_value meta_groups_over_1000 meta_huffman meta_mapping_path meta_precision_min meta_unused_group simple_1sym simple_2sym 
meta-huffman-precision-max               build_single_value meta_huffman meta_precision_max simple_1sym 
meta-huffman-precision-min               build_single_value meta_huffman meta_precision_min simple_1sym 
meta-huffman-sparse-groups               build_single_value meta_huffman meta_mapping_path meta_precision_min meta_unused_group simple_1sym simple_2sym 
meta-huffman-two-groups                  build_single_value meta_huffman meta_precision_min simple_1sym simple_2sym 
predictor-all-16-modes                   build_single_value complex_code pred_first_row pred_mode_0 pred_mode_1 pred_mode_10 pred_mode_11 pred_mode_12 pred_mode_13 pred_mode_14 pred_mode_15 pred_mode_2 pred_mode_3 pred_mode_4 pred_mode_5 pred_mode_6 pred_mode_7 pred_mode_8 pred_mode_9 simple_1sym tf_bits_min tf_predictor 
predictor-mode-11-select                 build_single_value pred_first_row pred_mode_11 simple_1sym tf_bits_min tf_predictor 
predictor-mode-13-clamp-half             build_single_value pred_first_row pred_mode_13 simple_1sym tf_bits_min tf_predictor 
predictor-mode-14-undefined              build_single_value pred_first_row pred_mode_14 simple_1sym tf_bits_min tf_predictor 
predictor-mode-15-undefined              build_single_value pred_first_row pred_mode_15 simple_1sym tf_bits_min tf_predictor 
predictor-single-row                     build_single_value pred_first_row simple_1sym tf_bits_min tf_predictor 
predictor-tile-bits-min                  build_single_value complex_code pred_first_row pred_mode_0 pred_mode_1 pred_mode_10 pred_mode_11 pred_mode_12 pred_mode_13 pred_mode_2 pred_mode_3 pred_mode_4 pred_mode_5 pred_mode_6 pred_mode_7 pred_mode_8 pred_mode_9 simple_1sym tf_bits_min tf_predictor 
simple-dist-1sym-oob                     build_empty_code build_single_value simple_1sym simple_sym1_oob 
simple-dist-2sym-both-oob                build_empty_code build_single_value simple_1sym simple_2sym simple_sym1_oob simple_sym2_oob 
simple-dist-2sym-duplicate               build_single_value simple_1sym simple_2sym 
simple-dist-2sym-first-oob               build_single_value simple_1sym simple_2sym simple_sym1_oob 
simple-dist-2sym-second-oob              build_single_value simple_1sym simple_2sym simple_sym2_oob 
simple-dist-sym-39-last-valid            build_single_value simple_1sym 
simple-dist-sym-40-first-oob             build_empty_code build_single_value simple_1sym simple_sym1_oob 
simple-green-1bit-symbol                 build_single_value simple_1sym simple_sym_1bit 
simple-green-2sym-1bit-each              build_single_value simple_1sym simple_2sym 
transform-all-four                       build_single_value palette_2 pred_first_row simple_1sym simple_2sym tf_bits_min tf_color_indexing tf_cross_color tf_predictor tf_subtract_green 
transform-palette-1-color                build_single_value palette_1 palette_black_tail simple_1sym tf_color_indexing 
